location,mean_lat,mean_lon,listing_count
canal burg,31.475302,74.2446712,20
arsalan town,33.64249095,73.21366284999999,20
i-11,33.635018450000004,73.01971019999999,20
askari 2,33.585054,73.083517,20
i-12,33.628841692499996,73.0023635995,20
raza garden,31.451813000000005,73.16190475,20
anda mor road,24.964953872631582,67.05648030736842,19
peer meher ali shah town,33.544952,72.997505,19
kamran chowrangi,24.923841,67.13781189473684,19
mehar fayaz colony,31.576632,74.4051617894737,19
gulistan colony no 1,31.44186215789474,73.1005857368421,19
dhok elahi baksh,33.611724,73.068216,19
khudadad colony,24.87365197222222,67.04495579944445,18
cricketer villas,31.495427,74.423858,18
jhang syedan,33.643298817222224,73.20865704444444,18
hbfc housing society,31.456566944444447,74.40906944444446,18
askari 10,33.586989,73.077743,18
riaz ul jannah,31.476680042222224,73.06302446833334,18
narwala road,31.439971666666665,73.02167666666666,18
dhok gujran,33.59919305555556,72.99088094444444,18
bakar mandi road,31.413946517222225,73.05220498222222,18
pindora,33.64427514888889,73.07122820222222,18
fazal town,33.60428977777778,73.113863,18
kot lakhpat,31.450900205882355,74.33254776941176,17
kohinoor city,31.412659,73.116796,17
grand avenues housing scheme,31.33795,74.381324,17
ghaziabad,32.15062994529412,73.99121694647059,17
the springs,33.615388,73.119838,17
lyari town,24.865026450588235,66.98862956411764,17
china scheme,31.600422846470593,74.36365955,17
clifton township,33.527079,73.064508,17
manawala,31.46044130235294,73.13918849411765,17
gulshan-e-khudadad,33.62683709882353,72.98272982647059,17
al-jannat housing society - kahna,31.36018941941176,74.38478925529411,17
g-5,33.72042894117647,73.09774911764707,17
eden villas,31.46607973352941,74.31056576058823,17
e-18,33.631955111176474,72.85413900647059,17
allama iqbal colony,33.070287,73.03368229411764,17
mian zulfiqar ali shahid road,31.472714470588237,73.08674764705881,17
jail road,31.522708507058823,74.11225382294117,17
park view city,33.720586,73.222006,17
west wood housing society,31.465721810588235,74.23777688470588,17
liaquat colony,33.5609650625,73.018478125,16
